date,period,ticker,name,market,broker,buy,sell,net_buy,float_shares,listed_shares,market_cap_krw,close,source
2026-07-03,5,247540,에코프로비엠,KOSDAQ,NH투자증권,339764,234181,105583,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,20,247540,에코프로비엠,KOSDAQ,한국투자증권,1407921,1222171,185750,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,20,247540,에코프로비엠,KOSDAQ,신한투자증권,1419846,1153899,265947,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,20,247540,에코프로비엠,KOSDAQ,키움증권,1158256,1125320,32936,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,20,247540,에코프로비엠,KOSDAQ,KB증권,931836,947270,-15434,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,20,247540,에코프로비엠,KOSDAQ,NH투자증권,1073586,825701,247885,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,60,247540,에코프로비엠,KOSDAQ,신한투자증권,4066010,3962030,103980,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,60,247540,에코프로비엠,KOSDAQ,키움증권,4170125,3735526,434599,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,60,247540,에코프로비엠,KOSDAQ,한국투자증권,3701432,3422085,279347,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,60,247540,에코프로비엠,KOSDAQ,KB증권,2611465,2871632,-260167,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,60,247540,에코프로비엠,KOSDAQ,미래에셋증권,2552957,2243941,309016,97801344,97801344,13000000000000,130000,naver-finance-broker-table
2026-07-03,1,086520,에코프로,KOSDAQ,키움증권,215384,258597,-43213,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,1,086520,에코프로,KOSDAQ,한국투자증권,274329,207259,67070,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,1,086520,에코프로,KOSDAQ,신한투자증권,198409,185051,13358,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,1,086520,에코프로,KOSDAQ,골드만삭스,204606,0,204606,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,1,086520,에코프로,KOSDAQ,미래에셋증권,0,150566,-150566,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,1,086520,에코프로,KOSDAQ,삼성증권,0,147108,-147108,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,1,086520,에코프로,KOSDAQ,NH투자증권,124714,0,124714,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,5,086520,에코프로,KOSDAQ,키움증권,2009011,1619155,389856,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,5,086520,에코프로,KOSDAQ,한국투자증권,1427987,1320569,107418,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,5,086520,에코프로,KOSDAQ,신한투자증권,981469,1159880,-178411,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,5,086520,에코프로,KOSDAQ,미래에셋증권,1127637,746514,381123,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,5,086520,에코프로,KOSDAQ,삼성증권,0,608712,-608712,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,5,086520,에코프로,KOSDAQ,NH투자증권,866544,0,866544,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,20,086520,에코프로,KOSDAQ,키움증권,3639213,3157899,481314,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,20,086520,에코프로,KOSDAQ,한국투자증권,3335854,3052680,283174,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,20,086520,에코프로,KOSDAQ,신한투자증권,2438343,2391691,46652,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,20,086520,에코프로,KOSDAQ,미래에셋증권,2176053,2001728,174325,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,20,086520,에코프로,KOSDAQ,삼성증권,0,1652507,-1652507,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,20,086520,에코프로,KOSDAQ,NH투자증권,1895394,0,1895394,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,60,086520,에코프로,KOSDAQ,키움증권,12991395,11240816,1750579,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,60,086520,에코프로,KOSDAQ,한국투자증권,10891916,10437553,454363,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,60,086520,에코프로,KOSDAQ,삼성증권,6530809,7269714,-738905,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,60,086520,에코프로,KOSDAQ,미래에셋증권,6653149,5601118,1052031,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,60,086520,에코프로,KOSDAQ,신한투자증권,6100174,6255382,-155208,26627668,26627668,2200000000000,83000,naver-finance-broker-table
2026-07-03,1,196170,알테오젠,KOSDAQ,키움증권,51254,49652,1602,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,1,196170,알테오젠,KOSDAQ,미래에셋증권,43004,48733,-5729,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,1,196170,알테오젠,KOSDAQ,신한투자증권,44365,42220,2145,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,1,196170,알테오젠,KOSDAQ,한국투자증권,35507,43445,-7938,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,1,196170,알테오젠,KOSDAQ,NH투자증권,33937,36101,-2164,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,5,196170,알테오젠,KOSDAQ,키움증권,289940,280577,9363,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,5,196170,알테오젠,KOSDAQ,신한투자증권,205472,223152,-17680,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,5,196170,알테오젠,KOSDAQ,미래에셋증권,234361,193891,40470,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,5,196170,알테오젠,KOSDAQ,한국투자증권,207059,204138,2921,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,5,196170,알테오젠,KOSDAQ,NH투자증권,160608,139677,20931,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,20,196170,알테오젠,KOSDAQ,키움증권,1103315,1165756,-62441,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,20,196170,알테오젠,KOSDAQ,신한투자증권,1148438,1101254,47184,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,20,196170,알테오젠,KOSDAQ,한국투자증권,890955,886377,4578,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,20,196170,알테오젠,KOSDAQ,미래에셋증권,840594,800932,39662,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,20,196170,알테오젠,KOSDAQ,NH투자증권,759261,773010,-13749,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,60,196170,알테오젠,KOSDAQ,키움증권,2806467,2943231,-136764,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,60,196170,알테오젠,KOSDAQ,신한투자증권,2895373,2933799,-38426,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,60,196170,알테오젠,KOSDAQ,NH투자증권,2380408,2268166,112242,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,60,196170,알테오젠,KOSDAQ,한국투자증권,2019045,2141731,-122686,53011179,53011179,22000000000000,415000,naver-finance-broker-table
2026-07-03,60,196170,알테오젠,KOSDAQ,미래에셋증권,2010891,2102770,-91879,53011179,53011179,22000000000000,415000,naver-finance-broker-table
